@relation InstanceResultListener

@attribute Key_Dataset {ionosphere}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LibSVM,weka.classifiers.functions.MultilayerPerceptron}
@attribute Key_Scheme_options {'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1','-L 0.2 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.4 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.6 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.8 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.2 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.4 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.6 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.8 -M 0.4 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.2 -M 0.6 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.4 -M 0.6 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.6 -M 0.6 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.8 -M 0.6 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.2 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.4 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.6 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.8 -M 0.8 -N 500 -V 0 -S 0 -E 20 -H a'}
@attribute Key_Scheme_version_ID {14172,-5990607817048210779}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

ionosphere,1,1,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1',14172,20141103.1801,315,36,31,5,0,86.111111,13.888889,0,0.683099,0.138889,0.372678,30.127352,77.588717,33.969909,5370,-5336.030091,0.943609,149.166667,-148.223058,23.377648,0.649379,2480.733147,0.692308,9,0.043478,1,0.956522,22,0.307692,4,0.9,0.692308,0.782609,0.695792,0.824415,0.734188,0.861111,0.212282,0.787718,0.138889,0.865598,0.861111,0.856305,0.695792,0.824415,0.799964,0.840284,0.861111,0.034,0.003,0.021041,0.002339,50242,101378,15167,86.111111,50,?
ionosphere,1,2,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1',14172,20141103.1801,316,35,32,3,0,91.428571,8.571429,0,0.813499,0.085714,0.29277,18.488372,60.56978,33.329976,3222,-3188.670024,0.952285,92.057143,-91.104858,26.968624,0.770532,2864.665614,0.846154,11,0.045455,1,0.954545,21,0.153846,2,0.916667,0.846154,0.88,0.815076,0.90035,0.832784,0.914286,0.113586,0.886414,0.085714,0.914389,0.914286,0.913524,0.815076,0.90035,0.875105,0.906667,0.914286,0.022,0.003,0.021443,0.002501,52330,101687,14858,91.428571,50,?
ionosphere,1,3,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1',14172,20141103.1801,316,35,34,1,0,97.142857,2.857143,0,0.937833,0.028571,0.169031,6.162791,34.969979,33.329976,1074,-1040.670024,0.952285,30.685714,-29.733429,31.209525,0.891701,3315.143308,0.923077,12,0,0,1,22,0.076923,1,1,0.923077,0.96,0.939651,0.961538,0.951648,0.971429,0.048352,0.951648,0.028571,0.972671,0.971429,0.971175,0.939651,0.961538,0.954712,0.968889,0.971429,0.029,0.003,0.027162,0.002251,53788,101687,14858,97.142857,50,?
ionosphere,1,4,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1',14172,20141103.1801,316,35,32,3,0,91.428571,8.571429,0,0.807339,0.085714,0.29277,18.488372,60.56978,33.329976,3222,-3188.670024,0.952285,92.057143,-91.104858,26.968624,0.770532,2864.665614,0.769231,10,0,0,1,22,0.230769,3,1,0.769231,0.869565,0.822753,0.884615,0.854945,0.914286,0.145055,0.854945,0.085714,0.924571,0.914286,0.911431,0.822753,0.884615,0.870694,0.902868,0.914286,0.023,0.003,0.022181,0.002281,56218,101687,14858,91.428571,50,?
ionosphere,1,5,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1',14172,20141103.1801,316,35,35,0,0,100,0,0,1,0,0,0,0,33.329976,0,33.329976,0.952285,0,0.952285,33.329976,0.952285,3540.382155,1,13,0,0,1,22,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.022,0.003,0.021484,0.002339,57406,101687,14858,100,50,?
ionosphere,1,6,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1',14172,20141103.1801,316,35,32,3,0,91.428571,8.571429,0,0.819277,0.085714,0.29277,18.488372,60.56978,33.329976,3222,-3188.670024,0.952285,92.057143,-91.104858,26.968624,0.770532,2864.665614,0.923077,12,0.090909,2,0.909091,20,0.076923,1,0.857143,0.923077,0.888889,0.820768,0.916084,0.81978,0.914286,0.082118,0.917882,0.085714,0.917007,0.914286,0.914876,0.820768,0.916084,0.884626,0.909561,0.914286,0.027,0.003,0.026489,0.002979,54436,101687,14858,91.428571,50,?
ionosphere,1,7,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1',14172,20141103.1801,316,35,35,0,0,100,0,0,1,0,0,0,0,32.502297,0,32.502297,0.928637,0,0.928637,32.502297,0.928637,3442.922548,1,12,0,0,1,23,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.025,0.002,0.024263,0.002596,57316,101687,14858,100,50,?
ionosphere,1,8,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1',14172,20141103.1801,316,35,33,2,0,94.285714,5.714286,0,0.873188,0.057143,0.239046,12.517221,50.321653,32.502297,2148,-2115.497703,0.928637,61.371429,-60.442792,28.272417,0.807783,2994.857325,0.916667,11,0.043478,1,0.956522,22,0.083333,1,0.916667,0.916667,0.916667,0.873188,0.936594,0.868849,0.942857,0.069669,0.930331,0.057143,0.942857,0.942857,0.942857,0.873188,0.936594,0.917909,0.936594,0.942857,0.024,0.003,0.023316,0.002622,56704,101687,14858,94.285714,50,?
ionosphere,1,9,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 10.0 -E 0.001 -P 0.1 -model /Users/GC -seed 1',14172,20141103.1801,316,35,34,1,0,97.142857,2.857143,0,0.935305,0.028571,0.169031,6.258611,35.582782,32.502297,1074,-1041.497703,0.928637,30.685714,-29.757077,30.387357,0.86821,3218.889936,0.916667,11,0,0,1,23,0.083333,1,1,0.916667,0.956522,0.937268,0.958333,0.945238,0.971429,0.054762,0.945238,0.028571,0.972619,0.971429,0.971111,0.937268,0.958333,0.953844,0.967623,0.971429,0.025,0.003,0.024058,0.002558,55048,101687,14858,97.142857,50,?
